,Training Loss,Validation Loss
Epoch 1,1.2523952076554299,1.51395399817105
Epoch 2,1.2004685986220838,1.6439581061231678
Epoch 3,1.1781950009047986,1.5026055502480473
Epoch 4,1.148793004757166,1.571751953198992
Epoch 5,1.1301228006720543,1.4259348891932389
Epoch 6,1.111701870572567,1.365910846097716
Epoch 7,1.0951919399738312,1.4291791494550377
Epoch 8,1.0757814172148705,1.3533380185735637
Epoch 9,1.0592019201636313,1.3934307370720238
Epoch 10,1.0585523616194725,1.3649135324461708
Epoch 11,1.0415768741250038,1.3797498119288478
Epoch 12,1.044274154704809,1.2719870245662228
Epoch 13,1.0141698706269264,1.3501615072118824
Epoch 14,1.0083840456962585,1.2378712435220849
Epoch 15,0.9995986671179533,1.384283898719426
Epoch 16,0.9826984956800938,1.3033136560999115
Epoch 17,0.9622080840468407,1.2906781707344384
Epoch 18,0.9481295296311378,1.3662684734525352
Epoch 19,0.9405368422552943,1.4148440001339748
Epoch 20,0.9105889721810818,1.3381774923924743
